;;;
;;;
;;;
;;;
;REPUESTOS PARA BICICLETAS, ACCESORIOS Y OFERTAS;;
ARTICULO;DESCRIPCION;costo;sugerido
1122;SHUNFENG - PI�ON LIBRE 22 DTS. CHINO;3271,62;3911,90
 191;LAGE - PI�ON ZINCADO P/MAZA CONTRAPEDAL 18/22 DTS.;3625,76;4207,85
 958;PI�ON FIJO PLAYERO P/ MAZA CONTRAPEDAL ACERO 18-19;1500,84;2025,08
 893;SHUNFENG - PI�ON 7 COR.INDEX 14/28 DTES.;8278,17;9898,28
2647;SLP - PI�ON 7 CORONAS MTB ROSCADO INDEX;9419,95;10932,24
484;SHIMANO - PI�ON TZ500 7 CORONAS ROSCADO 14/28D;18905,01;21940,05
 886;POWER/EASTMAN  PI�ON 6 COR. MTB SISTEMA INDEX;5641,60;6547,32
 606;EASTMAN - PORTAPAQUETE HIERRO NEGRO INDIA C/REFLE;6031,49;6999,80
1592;DIAFA PORTAPAQUETE DE HIERRO ROD.29 AL COLLAR Y;16802,21;20090,57
3818;DIAFA PORTAPAQUETE PLAYERO NEGRO CA�O SIN AJUSTAD.;12725,37;15215,85
2851;POWER - PORTAPAQUETES APTO P/FRENOS A DISCO;30896,42;35856,58
 244;EASTMAN /XUNDAH - PORTAPAT.CANTILEVER C/PERNO..C/U;340,40;505,23
1851;MONTERO - PORTAPATIN CANTILEVER CON PERNO....  C/U;623,62;789,53
 270;POWER - PORTAPATINES V-BRAKE ALLEN ECON.T/SHIM.PAR;1079,05;1310,36
 567;SLP- PORTAPATINES V.BRAKE C/ALLEN EN BLISTER -PAR;966,49;1121,65
 128;PRENSA PORTAPATIN CANTILEVER 5 PIEZAS ACERO;449,73;546,14
1405;MAXXUM - PUNTERAS PLASTICAS PARA USAR SIN CORREAS;2303,24;2754,00
 491;GRIPP P/BICI PLAYERA IMPORTADO 4 PIEZAS NEGRO;2682,56;3325,48
2732;"MAXXUM - PU�OS ""KING"" SPORT R.26 NEGROS BOLSITA";1151,62;1377,00
4063;SAMORGA - PU�OS MTB MICROPOREADOS LARGOS COLORES;1165,71;1393,85
3650;MAXXUM - PU�OS CROSS R.20 COMUN NEGROS ANILLADOS;1087,64;1300,50
1051;"POWER - PU�OS CHOPEROS ECON. NEGROS""C/ARO CROMADO""";1876,77;2279,09
2934;POWER - PU�OS MTB GEL NEGRO RANUR.C/ARO COLORES;1494,86;2017,02
 570;SLP PU�OS MTB GEL NEGROS CON ARO COLOR SIMIL POWER;1397,55;1621,92
2931;FIRE BIRD -  PU�OS MTB ESPECIALES CON TORNILLO ;5621,74;6721,97
222;"KSD/FABIO PASTILLAS DE FRENO VARIOS MOD.""PAR"" BLISTER";4283,56;4971,25
4018;"SLP 310 - PASTILLAS FRENO A DISCO RECTANGULAR""PAR""";1611,09;2088,60
3988;33 EXTRA - RAYOS C/N DE 2MM UNICAM.270/265/260 C/U;63,05;75,40
3997;33 - RAYOS 2.00MM C/N TRADIC.TODAS LAS MEDIDAS C/U;85,55;102,29
3967;33 - RAYOS 2.34 MM. C/NIPLES TODAS MEDIDAS.....C/U;120,14;143,65
3565;"33 - RAYOS 2.00MM ""NEGROS"" CON NIPLES..........C/U";122,50;146,47
4750;"RUEDA T.TERR.""DURAL"" ROD.26 DELANTERA RAYOS 2mm";17745,30;22020,32
4751;"RUEDA T.TERR.""DURAL"" ROD.26 TRASERA RAYOS 2mm";18336,38;22753,80
4754;RUEDA PLAYERA TRAS.MAZA C/PEDAL LOGAN LLANTA DURAL;27350,09;33939,00
4753;"RUEDA CHOPPERA TRASERA ""GILDA"" LLANTA DURAL ANCHA";24700,36;30650,93
4769;RUEDA CHOPPERA DELANTERA DURAL GILDA/CANCUN ANCHA;24700,36;30650,93
3657;CHOIQUE SOPORTE PORTABICI DE PIE P/R.29 Y OTROS;17062,11;19801,29
1007;SAMORGA - PORTABICI COMUN VERTICAL A LA PARED CON;5812,82;6950,45
1010;SAMORGA - PORTABICI HORIZONTAL PINTADO CON GRIPP Y;8577,84;10256,61
  40;POWER/SLP - SILLITA P/MU�ECAS TRASERA IMPORT.PLAST;5677,83;6894,99
1561;DIAFA - SILLITA DELANTERA PLASTICA RESPALDO ALTO;12536,85;14108,64
1562;DIAFA - SILLITA DELANTERA PLASTICA PARA MTB;35112,60;39514,80
2804;MAXXUM - SILLITA TRASERA LUJO SIMIL IMPORT. C/RESP;20473,20;24480,00
4166;SMART BY MAXXUM - SILLITA TRASERA GRANDE P/NI�OS;15226,94;18207,00
2801;SCIUTTO - SILLITA TRASERA ALTA DE LUJO;13262,08;15391,20
1892;EASTMAN - STEIN T.TERR.NEGRO COMUN ACERO 25.4 CON;3150,04;3655,76
 532;LOGAN - STEIN COMUN P/PLAY. 22.2MM TAPA C/4 TORN.;6932,67;8289,46
 534;EASTMAN - STEIN PLAYERO ECO 22.2MM 4T. SIMIL LOGAN;4210,91;5113,60
2727;STEIN FREEST.22.2/21MM DURAL SPANDER HUECO CHINO;8539,23;9910,13
3075;I LOVE MY BIKE - TIMBRE ALUMINIO COLOR A PALANCA;2001,10;2334,78
1040;POWER - TIMBRE GRANDE METAL RETRO CON FLORES PAL.;5796,01;6726,51
1041;"HELLO KITTY TIMBRE ROSA ""CON ESPEJITO""";2980,95;3619,98
