;;;
;;;
;;;
;;;
;REPUESTOS PARA BICICLETAS, ACCESORIOS Y OFERTAS;;
ARTICULO;DESCRIPCION;costo;sugerido
3553;"MAXXUM - CANASTO DELANTERO ""PLASTICO LUJO"" GRANDE";9724,77;11628,00
3556;"MAXXUM - CANASTO TRASERO ""PLASTICO"" GRANDE LUJO";10108,64;12087,00
1750;POWER/SLP - CANASTO R12/16 PLASTICO C/FLORES ENREJ;4836,81;5783,42
1759;POWER - CANASTO ENREJ. PLASTICO C/FLORES ROD. 20;4836,81;5783,42
2110;PONTINA - CANASTO DE MIMBRE CON VARILLA PLANCHUELA;22741,37;27390,00
4175;FOXTER - CANASTO PLASTICO R.26 LUJO C/VAR.PLANCH.;10540,39;12603,24
 990;WANDA - CAMARA CLINCHER 700 X 23MM V.TUBO 40/48MM;4709,83;5631,59
991;WANDA - CAMARA CLINCHER 700x23 VALV.TUBO 60MM;4942,77;5910,12
3021;CHAOYANG - CAMARA CLINCH.700X18/23 - DE 48 Y 60MM;8584,17;9962,29
3347;"ROVI - CALZA CORTA LYCRA ""NEGRA""CURVADA C/REFUERZO";29475,74;34207,82
3348;"ROVI - CALZA CORTA LYCRA ""C/MARCAS"" CURV.C/REFUERZO";32473,27;37686,58
3773;LIMA - CALZA CORTA NEGRA/COLOR REFLEX REFORZ.C/PU�O;45622,82;49738,26
3791;LIMA - CALZA LARGA UNISEX REFLEX;62212,94;67824,90
2064;WINNER - ESLINGA CON CANDADO ACERO 32 MM C/LLAVES;6571,33;7626,30
458;SLP - CANDADO ENRUL.6mm X 1m C/LLAVE Y SOPORTE;4287,87;5419,77
530;SLP - CANDADO ENRUL.12mm X 1m C/LLAVE Y SOPORTE;5501,65;6419,03
3065;FIRE BIRD - CANDADO ENRULADO DE 10mm X 1.50m S/SOP;7330,84;8765,56
4713;COOL - CANDADO ENRULADO 12MM X 1.5MTS C/SOPORTE;7763,79;9283,24
1148;FIRE BIRD - CANDADO MOTO ARTICULADO 25MM X 1.2M;20720,23;24046,69
3199;FIRE BIRD - CANDADO MOTO CADENA FORRADA 6x1.2mt;21454,56;24606,34
6801;SLP - CANDADO MOTO ARTICULADO 18MM X 1M AZUL;8557,38;10391,83
605;GOLDEN KEY - CANDADO MOTO ARTICULADO 22MM X 1.5MTS;15708,55;18782,86
752;FIRE BIRD - CANDADO COMBINACION 4 NROS.8mm X 1mt;4927,61;5718,70
1145;MAXXUM - CARAMA�OLA MTB 750CC MTB COMPLETA C/SOP.;4094,64;4896,00
2612;MAXXUM TERMIC - CARAMA�OLA TERMICA BOTELLA SOLA;7549,49;9027,00
1146;SMART - PORTACARAMA�OLA CHATO PLASTICO IND.ARG.;2815,07;3366,00
1953;FIRE BIRD - PORTACARAMA�OLA NEW DURAL NEGRO/NATUR.;2737,09;3323,84
3853;DI FAZIO - CA�O PORTASILLA COMUN ZINCADO 24/25CM;2096,97;2507,36
3849;"DI FAZIO - CA�O PORTASILLA ""LARGO"" 33 CM ZINCADO";3008,32;3597,08
3855;"DI FAZIO - CA�O PORTASILLA ""SUPER LARGO"" 40/50 CM";6043,55;7226,33
2603;EASTMAN - CA�O PORTASILLA ACERO COMUN 25.4 X 30CM;2204,85;2677,50
1172;FIRE - CA�O PORTASILLA 25.4 DURAL 30CM C/ GRAMPA;9046,65;10817,17
1454;SLP - CA�O PORTASILLA 27.2 LISO ACERO X 40CM.;3827,14;4441,55
3983;ZMB - CA�O PORTASILLA DURAL PROF.27.2 X 35CM NEG C/GRAM;10120,06;11744,75
309;FIRE/FAST - CA�O PORTASILLA PROF.DURAL 27.2 NEGRO C/GRAMPA;10380,31;12046,78
158;SLP - CA�O PORTASILLA 27.2 DURAL PROF.40CM NEG. C/GRAMPA;12413,67;14237,30
2615;POWER - CASCO ADULTO ECONOM.REGULABLE SIN VISERA;19286,37;22382,63
2617;RALEIGH - CASCO ADULTO LUJO REGULABLE ESPECIAL;46847,83;56016,39
2618;"RALEIGH - CASCO ADULTO ""DAMA"" LUJO REGULABLE";40139,22;47994,84
2892;SLP - CASCO WT032 ADULTO MTB REGULABLE 21 VENTILACION;15808,33;21330,18
631;COOL - CASCO ADULTO BH18 DE LUJO REGULABLE CAJA;30288,54;35151,11
124;YOUYI - CASCO NI�OS NENA/VARON AJUSTABLE.C/DIBUJOS;12425,17;16107,82
126;RALEIGH - CASCO NI�OS LUJO REGULABLE;34533,71;40077,81
1460;"SLP - CASCO NI�O ""ECO"" MOTIVOS INFANTILES";9608,95;11668,82
3868;"MAXXUM - CASCO URBANO ""SMART"" REFORZADO TALLES VARIOS";22392,56;26775,00
276;NECO -  CARTUCHO CENTRO C/RULEMANES 34.7 118 y 123mm;5988,08;7613,58
150;SLP -  CARTUCHO CENTRO C/RULEMANES 34.7 LARGO 122,5mm;3990,38;5052,01
152;KENLI -  CARTUCHO CENTRO C/RULEMANES 34.7 122,5mm;4515,53;5483,52
859;LOVIT - CARTUCHO CENTRO CASSETE 34.7 - 123MM;4887,22;5843,70
2055;SAMAT - CINTA DE LLANTA COMUN PLASTICA R.14 AL 28;383,52;503,91
2057;"SAMAT - CINTA DE LLANTA ""REFORZADA"" MTB 26 - 29";685,52;979,34
1211;DONCA - CONEXION P/INFL.TALLER CON RACORD PINZA;1716,01;2051,85
1205;CHOIQUE - MANGUERA PLASTICA C/RACCORD GATILLO;4275,33;4961,70
1206;CHOIQUE - MANGUERA PLASTICA C/RACCORD PINZA COMUN;3768,05;4372,98
4115;ASSIZE AS-400 - COMPUTADORA 8 FUNC.BLANCA SIN PILA;13530,75;15703,00
3072;COMPUTER 15 - COMPUTADORA ECO 15 FUNC. BLISTER;7878,23;9567,09
1899;ASSIZE AS 505 - COMPUTADORA 11 FUNC. CAJITA NEGRA;19084,43;22148,28
1890;ECHOWELL - COMPUTADORA MOD.BL9W INALAMBRICA 9 FUNC;37262,08;43244,19
2178;R.Z. - CONO DELANTERO COMUN..................C/U;459,42;549,34
2179;R.Z./DI FAZIO - CONO TRASERO COMUN ...........C/U.;489,57;585,38
1560;DIAFA - CORREA ELASTICA MULTIUSO ...........C/U;2403,68;2874,11
 596;EASTMAN - CUBETAS CENTRO CROMADAS 35mm  JGO.;1439,55;1850,89
 315;NECO - MOVIM.CENTRO PLAYERO GRANDE 50MM-JUEGO;2726,35;3451,68
 318;EASTMAN/SLP JGO.CENTRO PLAYERO 50MM CHINO CAJITA;2203,72;3270,83
1544;SHUNFENG - CENTRO PLAYERO 50MM CAJITA JGO.;3163,70;3988,42
 550;POWER  - CUBREAS. MTB GEL ANTIPROST. CHINO;9087,81;10546,78
 560;"TOOLMAK CUBREASIENTO MTB ""SUPER GEL"" ANTIPR.T/VELO";11012,31;12780,24
563;"CUBREASIENTO ANATOMICO MTB MATERIAL ""FOAN"" ANTIPROST.";5429,07;6491,59
2518;"NORMA - CUBREAS.PLAYERO ""SUPER"" CUERINA T/GUANTE";6781,75;7870,50
4197;"BRAULIO ""LYCRA"" FUNDA ACOLCHADA LYCRA MTB/PLAYERA";3016,67;3819,24
390;SPEED BIKE - CUBREASIENTO PLAYERO CUERINA Y LYCRA;2830,32;3583,31
 393;SPEED BIKE CUBREASIENTO DE NI�O CON PERSONAJES ECO;2426,00;3071,43
 770;LAGE/WALTER - CUBRECAD.R.26 LOMITO PLAYERO PINTADO;4188,97;5303,43
 865;MAXXUM - CUBRERAYOS MEDIANO PLASTICO TRANSPARENTE;1215,60;1453,50
2795;MANSUINO - CUERO P/INFL. 30 MM REFORZ. TALLER;1563,93;1870,00
2789;MANSUINO - CUERO P/INFL. DE TALLER REFORZADO 35 MM;1563,93;1870,00
2796;CHOIQUE - SOPAPA DE PLASTICO P/INFLADOR DE 30mm.;353,01;409,68
1214;DONCA - SOPAPA PLASTICA DE 30 MM. P/INFL. DE PIE;818,53;1151,44
2182;R.Z. - CHAVETA 8.5 - 9 - 9.5 MM. C/TUERCA COMUN;732,66;927,58
2798;COOL - DESCARRILADOR DUAL DOBLE TIRO 28.6 ADAPTAB.;5329,96;6373,08
 389;COOL/FALCON DESCARRILADOR 28.6 TIRO ABAJO ZINCADO;2242,27;2722,95
 246;NECO - EJE DE CENTRO PUNTA CUADRADA 2 MED.5U Y 7T;2273,62;2718,59
 900;EASTMAN - EJE CENTRO IMPORT. 69 ZINCADO -;1928,04;2601,50
2278;R.Z.- EJE DELANT.FINO COMUN COMPLETO C/TUER.Y ARAN;1840,60;2200,82
2279;R.Z. - EJE TRASERO COMPLETO TUERCA Y ARAN.;2168,60;2593,01
2200;R.Z. - EJE TRASERO LARGO T.TERR.COMPLETO;3073,72;3675,28
738;SHUNFENG - EJE TRASERO LARGO MTB C/GUARDAPOLVO 180;1822,22;2458,72
 408;"COOL - EJE HUECO ""TRASERO"" PARA CIERRE DE RUEDA";2331,51;2831,31
1836;"SAMORGA - EJE DE MAZA DELANTERO ""GRUESO 3/8""";2128,76;2545,38
 705;EASTMAN - EJE DELANTERO COMPLETO FINO IMPORTADO;796,51;924,38
 437;"COOL/EASTMAN ENGRANAJE PLAYERO ""CROMADO"" 44D.COMUN";1904,94;2313,31
 664;"SLP - ENGRANAJE PLAYERO ""NEGRO"" 44D. ECONOMICO";1445,40;1755,25
1946;EASTMAN - ENGRAN.46D.CON PALANCA REMACH.CROM.JGO;9646,57;11534,50
 500;EASTMAN - ENGR.TRIPLE C/PALANCA PLASTIFICADA GRIS;9829,28;11407,29
507;GLOCK - PALANCA TRIPLE PLATO 28/38/48 PLASTIFICADO;12656,59;14688,50
1029;WINNER/EAST - PALANCA TRIPLE PLATO PLASTIF.24/42D;10800,62;12534,57
213;SLP - PALANCAS TRIPLE PLATO DURAL CHICA 22/32/42D;18143,85;22033,35
1031;WINNER - ENGRAN.TRIPLE C/PALANC.DURAL 28/48;19746,67;22916,83
3107;SHIMANO - ENGR.TRIPLE TY301 PAL.DURAL 42/34/24 N;32930,57;38217,30
 968;FORMULA 1/EAST -ESPEJO REDONDO NEGRO T/ZANELLA C/U;3116,95;3726,96
1873;"MAXXUM - ESPEJO REDONDO CHICO PLASTICO ""AL PU�O""";2623,13;3136,50
2967;FIRE BIRD - FAROLITOS SILICONA 2 LUCES LED ROJO/;2774,10;3317,02
1799;BS-216 - FAROL TRASERO RECARGABLE USB BLISTER;3539,96;4481,75
3126;POWER - LUZ DEL.XENON T/LINTERNA 9 LEDS ALUMINIO;9128,20;10593,66
 912;DI FAZIO ESTABILIZADORES FIJOS R.12/14/16 R.GRAND.;6146,11;7348,96
 913;"DI FAZIO - ESTABILIZADORES ""ROD.20"" FIJOS RUED.GDE";7322,42;8755,49
1878;SAMORGA - ESTABILIZADORES FIJOS R.12 AL 20 R.GRAND;4226,08;5053,17
 916;SAMORGA - ESTABILIZADORES REGULABLES.ROD 12 AL 20;7776,62;9298,58
  76;NAVARRO - FORMA PLAYERA COMUN R.20/24/26 PINTADA;3766,81;4504,01
  78;"NAVARRO - FORMA COMUN PLAYERA ""CROMADA"" ROD.26";6155,68;7360,41
1955;"EASTMAN - FORMA ""PALOMITA"" BAJA ACERO NEGR.IMPORT.";2790,14;3547,54
2151;JORSIN - FORRO DE FRENO 2.5 NEGRO X 25MTS....METRO;628,80;884,54
1308;XUNDAH - SET DE FRENOS V.BRAKE DURAL CON MANIJAS;11732,41;14028,55
  60;LOGAN - SET FRENOS V-BRAKE DURAL C/MANIJAS Y CABL.;13138,52;15247,80
  58;LOGAN - SET FRENOS V.BRAKE RESINA C/MANIJ. Y CABL.;9137,81;10926,17
1405;AND-ES - SET DE FRENOS A DISCO MECANICO C/DISCOS;10424,52;11955,93
6067;SLP - SET DE FRENOS A DISCO 160/160 COMPLETOS CON CABLES;10171,36;12161,99
420;"LOGAN - FRENOS A DISCO ""HIDRAULICOS"" CON DISCOS DE";67997,07;78913,43
2842;"FABIO - FUSIBLE ""NACIONAL"" P/ CUADRO MTB 2 MODELOS";4320,21;5013,79
2844;"FABIO - FUSIBLE ""IMPORTADO"" C/ TORNILLO 2 MODELOS";3280,46;4337,80
2800;ZMB - FUSIBLE PARA CUADRO MTB ZMB/VENZO;4216,81;5042,08
2742;SLP - FUSIBLE DURAL PARA SLP 25/50 BLISTER;7153,17;8301,55
2740;SLP - FUSIBLE CUADRO DURAL SLP 100/200/300;6791,43;7881,74
1814;EASTMAN - SET DE FRENOS V-BRAKE RESINA NEGRO C/MA-;6583,14;8334,56
 173;WINNER - GOMINES BOLSITA DE 200 UNID.40 GRS. ROJOS;2746,71;3187,67
2081;DINI - GRASA EN POTE PLASTICO DE 50 GRS.;1554,60;1858,85
3434;ROVI - GUANTES LYCRA PALMA ECOLOGICA -NEGR/COLORES;7660,36;8890,17
3905;PEARLIZUMI - GUANTES DEDOS CORTOS IMPORTADOS LUJO;16399,86;19032,72
1800;PULPEIRO - GUARDAB.PLAYER.NEGROS EPOXI SIN VARILL.;6680,05;7752,48
3823;MAXXUM - GUARDABARROS PLAYEROS PLASTICOS.......PAR;4862,39;5814,00
3861;"SMART - GUARDABARRO ""TRASERO"" LARGO PLASTICO MAXX";7677,45;9180,00
4212;PONTINA/NORMA - GUARDAPOLLERA ENTERIZO CUERINA;11374,00;13200,00
3574;FOXTER - GUARDAPOLLERAS ENTERIZOS PLASTICOS....PAR;7322,55;8755,65
 286;EASTMAN/SLP - HERRADURAS BALLON REFORZADAS 4MM JGO;4195,60;4895,21
 136;"SS - HORQUILLA""PLAYERA"" ROD.26 CROMADA COMUN";15223,32;18202,67
 137;SS - HORQUILLA T.TERR.26 FRENO CANTILEVER CROMADA;16715,80;19987,24
4140;SS - HORQUILLA PLAYERA PINTADA NEGRA;10745,87;12848,94
 214;POWER HORQUILLA T.TERR.Y PLAYERA CROMADA SIN TETON;26967,16;31296,51
2300;AND-ES - HORQUILLA R26 C/SUSP. A HEAD V.BRAKE ECO;12132,96;14733,90
485;AND-ES - HORQUILLA R.29 A HEAD ECO V.BRAKE Y DISCO;26373,59;30607,65
1648;SLP - HORQUILLA R.29 GD-395 C/SUSP. Y BLOQUEO SIMIL SLP100;33656,43;39059,69
 111;"DONCA - INFLADOR 52CM ""FORTE"" ECON. DOBLE VALVULA";2727,66;3261,48
1280;"DONCA - INFLADOR DE PIE PLASTICO CON ""SOLO PINZA""";7340,21;8776,76
4064;"DONCA - INFLADOR DE PIE PLASTICO RACCORD ""INTELIGENTE""";8851,37;10583,67
2850;"CORRADO - INFLADOR DE PIE PLASTICO RACCORD ""INTELIGENTE""";8326,48;9956,05
3670;SLP - HP-02 MINI INFLADOR MTB ECO PLASTICO;4713,03;5469,67
2841;CHOIQUE - INFLADOR RACCORD PINZA DE PIE METALICO;22108,84;25658,23
2847;"CHOIQUE - INFLADOR CORTO ""MOTO"" DE PIE METAL DUAL";20069,22;23291,17
2846;CHOIQUE - INFLADOR RACC.GATILLO DE PIE METAL.50CM;22304,95;25885,83
 364;"SLP - INFLADOR DE PIE""LARGO"" METAL PINTADO C/BOMBA";13924,62;16160,10
833;SLP - HP-11 MINI INFLADOR MTB V.DUAL DURAL TELESCOPICO;8673,64;10371,16
1335;"CHOIQUE - INFLADOR DE ""PELOTAS"" METAL CON PINCHE";11270,14;13079,47
 863;NECO - J.DIRECC. ACER0 28,6 A HEAD OVERZ.MTB CAJA;3110,05;3718,72
 342;NECO - JGO.DIRECC. 8 PIEZAS ESPEC.NEGRO BOLSITA;2074,14;2798,64
 367;SLP/EASTMAN - J.DIRECCION COMUN 8 P.CROM/NEGRO EN;1726,75;2446,39
685;KANGAROO - ASIENTO DELANT.P/LLEVAR BEBE EN BIC.MTB;47445,22;53393,60
686;KANGAROO - COMBO DE SILLITA CON MANUBRIO;61081,79;68739,84
2554;FOXTER XR 4.20 LLANTA MTB ROD.26 PERFIL ALTO TIPO;18288,70;21867,97
2001;HOUSTON - LLANTA CHOPERA 26 DURAL ANCHA;17568,02;20388,42
3766;HOUSTON - LLANTA MTB 480 GRS.(MAS ANCHA)NEG.O NAT.;10282,37;11933,11
5029;HOUSTON - LLANTA R.29 DSK SOLO DISCO NEGRA 32/36 AG;17665,58;20501,65
 238;COOL - MANIJAS DE CAMBIO 21V.N05A RAPID FIRE;13354,53;15968,13
518;SAIGUAN - MANIJAS DE CAMBIO 21V.INTEGRADAS R.FIRE;20936,78;24298,00
827;FAST - MANIJAS CAMBIO 21V R. FIRE SIMIL EF-500;10485,15;12025,48
4061;SHIMANO - MANIJAS CAMBIO EF41 INTEGRADAS 21VEL.;32217,19;36950,06
1733;SHIMANO - MANIJAS CAMBIO Y FRENO 21V.EF500;64116,66;74410,05
 234;POWER - MANIJAS CAMBIO PTO. A PTO.21V SIMIL TY22 J;3816,89;4429,66
 825;SLP - MANIJAS DE CAMBIO MTB FRICCION ECO PLAST.PAR;3226,75;4183,12
 648;LOGAN - MANIJAS FRENO MTB LARGAS RESINA .....PAR;2217,70;2729,72
 694;LOGAN - MANIJAS V.BRAKE DURAL CUERPO DE RESINA PAR;3660,08;4376,40
1042;LOGAN - MANIJAS DE RESINA CORTAS P/V-BRAKE..PAR;2488,73;2888,28
1124;NAVARRO - MANUB.PLAY.R.26 STEN SOLDADO S/SP.S/MJAS;5106,80;6106,25
1000;FALCON MAZA CONTRAPEDAL CON PI�ON 18 DTS.TAIWAN;14097,28;16856,25
 247;SHUNFENG - MAZAS DURAL V.BAJO C/TUERCAS 36 AG. CO-;14287,21;16580,90
 418;SHUNFENG - MAZAS DURAL C/CIERRES V.BAJO NATUR.JGO.;22429,37;26030,22
1954;POWER - KIT COMPLETO DE REPARACION MAZA CONTRAPED.;7453,30;9051,07
651;EASTMAN - MAZA DELANTERA CROM.T/PARALAX IMPORT.;2440,61;2963,81
 732;EASTMAN - MAZA TRASERA CROM.T/PARALAX IMPORT.;3340,64;4056,77
3789;SHUNFENG - MAZA DELANTERA ACERO CROMADA T/PARALAX;3141,55;3815,01
3791;SHUNFENG - MAZA TRASERA ACERO CROMADA T/PARALAX;3916,74;4756,37
331;SHUNFENG - MAZA TRASERA 32 AG.DURAL DISCO P/ROSCA;11517,17;13366,16
1590;SHUNFENG - MAZA TRASERA SOLA ACERO DISCO 32AG ROSC;7611,59;8833,57
1234;SHUNFENG - MAZAS ALUMINIO DISCO 32 AG ROSCA C/RUL.;31211,08;36221,76
1960;MAXXUM - OJO GATO ECONOMICO C/FLEJE METALICO...JGO;2047,32;2448,00
1962;MAXXUM - OJO DE GATO CUADRADO AL GUARDABARRO;1151,62;1377,00
2596;G-G - OJO DE GATO AL GUARDAB.T/ITAL.REDONDO GRDE.;655,72;796,28
2525;MAXXUM - KIT OJOS GATO REGLAMENT.AL FRENO Y RUEDAS;4350,56;5202,00
1559;COOL/EASTMAN BIELA PLAYERA CROMADA 165MM - ROD.26;4537,81;5745,08
1446;SLP - BIELA PLAYERA NEGRA 165MM - ROD.26;4147,60;5251,05
1127;FEIMIN - PEDALES DE NI�O EJE FINO BLANCOS PLASTICO;2454,36;3181,80
1080;"POWER PEDALES DE NENA EJE FINO FLOR COLOR ""ROSA"" P";2294,94;3096,56
 459;SLP - PEDALES MTB DURAL TOTAL NATURAL;6935,88;8092,42
2243;SAMAT - PEDALES T/INGLES S.LUJO REFL.CA#O CROMATIZ;7405,29;9189,30
2240;SAMAT - PEDALES SPORT REFLEX TAPA MET.S/BOLILLAS;5462,75;6778,78
3164;EASTMAN - PEDALES PLAYEROS/FREE PLAST.CON BOLILLAS;4382,55;5681,48
 460;WINNER - PEDALES DURAL FREEST. T/FUSION 9/16 Y 1/2;10689,20;12781,18
