ART;BICICLETAS RODADO 12;$;PUBLICO
329;CAPRI - LUJO FRENO CONTRAPEDAL - ASIENTO C/RESORTES - LLANTAS DOBLE PERFIL  - REFORZADA;223933,55;239658
;BICICLETAS PLAYERAS PONTINA ROD. 26 EQUIPADAS A FULL;;
300;GILDA RETRO FRENOS CANTIL. DAMA, GUARDAB.PU�OS MARRONES,CANASTO MIMBRE, TIMBRE ASIENTO MARRON;285329,63;307486
307;DELFINA - FULL DAMA LUJO CUADRO MODELO NORDICO EXCLUSIVO;262866,17;283278
308;DELFINA RETRO CUADRO NORDICO DAMA FULL PU�OS MARRONES, CANASTO MIMBRE, TIMBRE;292631,76;315355
282;VALERIA - FULL DAMA FRENOS CANTILEVER C/ GUARDABARROS, CANASTO Y PORTAPAQUETES DE CA�O;221763,22;238983
299;GILDA - DAMA DE LUJO FRENOS GUARDABARROS CANASTO Y PORTAPAQUETES - LLANTAS ANCHAS;259505,06;279656
309;SIMONA PREMIUM - DAMA FULL 26 CUADRO ACERO RONDINELLA COLORES COMBINADOS. CUBRECAD.DOB.MANGA;259505,06;279656
319;FATIMA - UNISEX FRENO CONTRAPEDAL GUARDABARROS LARGOS;192328,63;207263
291;SILUET PLUS UNIXEX - GUARDABARROS LARGOS AL TONO FRENO CONTRAPEDAL - MODELO EXCLUSIVO;215394,88;232120
293;PONTINA WOW - PLAYERA R.26 FULL DOBLE FRENO LUJO. V-BRAKE DELANTERO, TRASERO C/PEDAL. GUARDAB.PLAST.;217854,23;234771
312;FRIDA - DAMA FULL CUADRO FAMILY LLANTAS ANCHAS CUB. COLOR FRENOS V.BRAKE;269108,04;289004
313;FRIDA SETTE- DAMA FULL 7 VEL. CUADRO FAMILY LLANTAS ANCHAS CUB. COLOR FRENOS V.BRAKE;288361,08;310752
314;FRIDA XXI- DAMA FULL 21 VEL. CUADRO FAMILY LLANTAS PERFIL ALTO.  FRENOS V.BRAKE ALUMINIO;306342,6;330130
315;PONTINA TEMINA - DAMA FULL 7 VEL.CUADRO NORDICO LLANTAS ANCHAS CUB. COLOR FRENOS V.BRAKE;298394,62;321565
;BICICLETAS DE PASEO TIPO INGLES REFORZADAS Y SPORT;;
132;PONTINA TOURING VARON BALLON  DOBLE CA�O REFORZADA  C/PIE, CANASTO Y PORTAPAQ. FRENO VARILLA;286855,45;309130
134;PONTINA TOURING DAMA  BALLON  REFORZ.C/PIE, CANASTO, PORTAPAQ.Y GUARDAPOLLERA - FRENO VARILLA;296274,09;319280
712;RALEIGH VENTURE 3.0 - ROD.27,5 DAMA ALUMINIO 21 VEL.SHIMANO TOURNEY. FRENOS DISCO;464607,99;493779
4222;STARK OLIVIA ROD.26 - DAMA FULL DURAL 21 VEL.TOURNEY SUSP.DELANTERA;502551,72;522900
